Player_name;IP_address_player;TV_name;IP_address_tv;Location;Note;Time_1;Command_1;Time_2;Command_2;Time_3;Command_3;Time_4;Command_4;Time_5;Command_5;Time_6;Command_6;Time_7;Command_7;Time_8;Command_8;Time_9;Command_9;Time_10;Command_10;Time_11;Command_11;Time_12;Command_12;Time_13;Command_13;Time_14;Command_14;Time_15;Command_15;Time_16;Command_16;Time_17;Command_17;Time_18;Command_18;Time_19;Command_19;Time_20;Command_20
PB2803;192.168.1.20;PHILIPS;LGRDR_na_vysku;Praha, Jihlavska 17;;50 14 * * *;tv_off_hdmi;52 14 * * *;tv_on_hdmi;54 14 * * *;tv_off_hdmi;55 14 * * *;tv_on_hdmi;0 15 * * *;tv_on_hdmi;5 15 * * *;tv_off_hdmi;10 15 * * *;tv_on_hdmi;;;;;;;;;;;;;;;;;;;;;;;;;;
neznamy;192.168.1.26;PHILIPS;;Praha, Jihlavska 17;;50 14 * * *;tv_off_hdmi;52 14 * * *;tv_on_hdmi;54 14 * * *;tv_on_hdmi;55 14 * * *;tv_off_hdmi;0 15 * * *;tv_on_hdmi;5 15 * * *;tv_off_hdmi;10 15 * * *;tv_on_hdmi;;;;;;;;;;;;;;;;;;;;;;;;;;
PB6165;192.168.1.24;PHILIPS;Star;Praha, Jihlavska 17;;50 14 * * *;tv_off_hdmi;52 14 * * *;tv_on_hdmi;54 14 * * *;tv_on_hdmi;55 14 * * *;tv_on_hdmi;0 15 * * *;tv_off_hdmi;5 15 * * *;tv_off_hdmi;10 15 * * *;tv_on_hdmi;;;;;;;;;;;;;;;;;;;;;;;;;;
